DATE,VALUE
2016-10-31,-0.03306822938468
2016-10-28,-0.027478119275392
2016-10-27,0.0030624744793795
2016-10-26,-0.002037489812551
2016-10-25,-0.014457831325301
2016-10-24,-0.009546539379475
2016-10-21,-0.0027766759222531
2016-10-20,-0.027579556412729
2016-10-19,0.040955631399317
2016-10-18,0.010139931048469
2016-10-17,0.0090034786167384
2016-10-14,-0.0085209981740719
2016-10-13,-0.0048455481526348
2016-10-12,-0.018819334389857
2016-10-11,-0.020566550252231
2016-10-10,0.020796197266785
2016-10-07,0.0069804547267651
2016-10-06,0.011498890457938
2016-10-05,0.015570579799221
2016-10-04,0.0041143797572517
2016-10-03,0.007669983416252
2016-09-30,-0.0039231881065455
2016-09-29,0.064629588920642
2016-09-28,0.012013348164627
2016-09-27,-0.035614674962454
2016-09-26,-0.0021408691928923
2016-09-23,-0.010590976488032
2016-09-22,0.026527505979561
2016-09-21,0.01657824933687
2016-09-20,-0.01737619461338
2016-09-19,0.017233760494918
2016-09-16,-0.012437268164957
2016-09-15,0.0039430449069003
2016-09-14,-0.017857142857143
2016-09-13,-0.028021748222501
2016-09-12,-0.011370684308456
2016-09-09,-0.017469022953484
2016-09-08,0.047446808510638
2016-09-07,0.01709586669552
2016-09-06,-0.010916095890411
2016-09-05,0.016536118363795
2016-09-02,0.020199778024417
2016-09-01,-0.060283687943262
2016-08-31,0.0
2016-08-30,-0.034635521546516
2016-08-29,0.0
2016-08-26,0.0083248730964466
2016-08-25,0.035534062237174
2016-08-24,-0.023408624229979
2016-08-23,0.012474012474013
2016-08-22,-0.026118647499494
2016-08-19,-0.0014152850788516
2016-08-18,0.018114450391108
2016-08-17,0.0064222084110212
2016-08-16,0.020291693088142
2016-08-15,0.048537234042553
2016-08-12,0.02012208907981
2016-08-11,0.04835269021095
2016-08-10,-0.027207747290754
2016-08-09,0.0030064754856613
2016-08-08,0.018130445020014
2016-08-05,0.027582869586257
2016-08-04,0.021755253399258
2016-08-03,0.01125
2016-08-02,-0.0042320139407518
2016-08-01,-0.014474975466143
2016-07-29,-0.026510628134703
2016-07-28,-0.02127162225339
2016-07-27,-0.017906336088154
2016-07-26,-0.0045703839122485
2016-07-25,-0.010849909584087
2016-07-22,-0.016670371193599
2016-07-21,-0.018114360541248
2016-07-20,0.0026258205689277
2016-07-19,0.0077177508269019
2016-07-18,-0.019459459459459
2016-07-15,0.0052162573353619
2016-07-14,0.029997761361092
2016-07-13,-0.043878424657534
2016-07-12,0.060853769300636
2016-07-11,-0.011003817651022
2016-07-08,-0.030481166993251
2016-07-07,0.0050328227571115
2016-07-06,0.0013146362839615
2016-07-05,-0.049562682215743
2016-07-04,0.0077649527806926
2016-07-01,-0.0083246618106139
2016-06-30,-0.0072314049586777
2016-06-29,0.045582199179088
2016-06-28,0.02706900377191
2016-06-27,-0.034696937245663
2016-06-24,-0.039893070121324
2016-06-23,0.0041296716911006
2016-06-22,0.0051888750518888
2016-06-21,-0.010271158586689
2016-06-20,0.04530813828645
2016-06-17,0.019929916776172
2016-06-16,-0.038129344849379
2016-06-15,-0.0085630743525481
2016-06-14,-0.02998379254457
2016-06-13,-0.0068410462776661
2016-06-10,-0.017592409567108
2016-06-09,-0.0027597082594124
2016-06-08,0.019493569131833
2016-06-07,0.01675521046179
2016-06-06,0.0090721649484536
2016-06-03,-0.011213047910296
2016-06-02,0.004917025199754
2016-06-01,-0.0091352009744214
2016-05-31,0.0034630270930942
2016-05-27,-0.0086833602584814
2016-05-26,0.013300593411091
2016-05-25,0.0092936802973977
2016-05-24,0.013606866234038
2016-05-23,-0.015863205603626
2016-05-20,0.032546266751755
2016-05-19,-0.039239730226855
2016-05-18,0.00451652638062
2016-05-17,0.0045370179418437
2016-05-16,0.030605738575983
2016-05-13,0.013353435278914
2016-05-12,0.0075954861111111
2016-05-11,0.047034764826176
2016-05-10,0.037237803440962
2016-05-09,-0.048654708520179
2016-05-06,0.0047307952241496
2016-05-05,0.030408542246982
2016-05-04,-0.00023207240659098
2016-05-03,-0.059580969009166
2016-05-02,0.0039439088518843
2016-04-29,0.00087719298245612
2016-04-28,0.032374915100747
2016-04-27,0.0052344105598544
2016-04-26,0.0225738887596
2016-04-25,-0.022742779167614
2016-04-22,0.011269549218031
2016-04-21,0.0090508238570432
2016-04-20,0.001627150162715
2016-04-19,0.03314121037464
2016-04-18,0.0077444336882866
2016-04-15,-0.03951650395165
2016-04-14,0.0049053959355291
2016-04-13,-0.0048814504881451
2016-04-12,0.034632034632035
2016-04-11,0.021370670596905
2016-04-08,0.095827725437416
2016-04-07,-0.016415144294414
2016-04-06,0.052675585284281
2016-04-05,-0.0047156726768376
2016-04-04,-0.010159253157606
2016-04-01,-0.0089795918367346
2016-03-31,0.0
2016-03-30,0.0
2016-03-29,-0.041220975737021
2016-03-28,0.0
2016-03-24,-0.013130792996911
2016-03-23,-0.041933892451899
2016-03-22,0.015785517414182
2016-03-21,0.016556291390728
2016-03-18,-0.00076355306693818
2016-03-17,0.023710265763418
2016-03-16,0.023739663910376
2016-03-15,-0.014976353126642
2016-03-14,-0.034255265161126
2016-03-11,0.020191560962982
2016-03-10,-0.040486835568803
2016-03-09,0.028089887640449
2016-03-08,0.0035879036391592
2016-03-07,0.037490029247541
2016-03-04,0.052027972027972
2016-03-03,-0.017317207256735
2016-03-02,0.01819199552197
2016-03-01,-0.0052895322939868
2016-02-29,0.0044742729306489
2016-02-26,0.089247639354249
2016-02-25,0.042222222222222
2016-02-24,-0.012539184952978
2016-02-23,-0.050312593033641
