Date,Value
2016-10-28,0.0053307008884501
2016-10-27,-0.0033451397087761
2016-10-26,0.00086655112651639
2016-10-25,0.0030421555845286
2016-10-24,-0.00039492911022471
2016-10-21,-0.0044037274407267
2016-10-20,0.0020487766439464
2016-10-19,0.00862343029725
2016-10-18,0.0027095951546064
2016-10-17,0.002436588775714
2016-10-14,-0.0073748067086951
2016-10-13,0.0060632653875303
2016-10-11,-0.0048034934497816
2016-10-10,0.00059582919563059
2016-10-07,0.0033878039059386
2016-10-06,-0.011737828895541
2016-10-05,-0.010831450167537
2016-10-04,-0.02284321937105
2016-10-03,-0.0069565217391305
2016-09-30,0.0033381382292695
2016-09-29,-0.0033270321361059
2016-09-28,-0.0033911077618689
2016-09-27,-0.010070869078702
2016-09-26,0.001381989317596
2016-09-23,-0.00033604659846152
2016-09-22,0.009803182263781
2016-09-21,0.0093621555792358
2016-09-20,-0.00079857017910785
2016-09-19,0.0049680895784767
2016-09-16,-0.0018690875801038
2016-09-15,-0.0082844713448081
2016-09-14,-0.0014354247724097
2016-09-13,-0.00071719764457181
2016-09-12,-0.0046962467595897
2016-09-09,-0.0093419681405391
2016-09-08,0.0045989904655076
2016-09-06,0.0082180419949486
2016-09-05,0.0012455650335924
2016-09-02,0.011607483772432
2016-09-01,0.00019094901661256
2016-08-31,-0.0067518871145166
2016-08-30,-0.00045497630331747
2016-08-26,-0.001929917505487
2016-08-25,-0.0044829534752308
2016-08-24,-0.010991058122206
2016-08-23,0.004566210045662
2016-08-22,-0.0077985739750446
2016-08-19,-0.002703603570238
2016-08-18,0.0049875311720699
2016-08-17,-0.00048363095238102
2016-08-16,0.0034343736001194
2016-08-15,-0.0094660553172607
2016-08-12,-0.0020664206642066
2016-08-11,0.0054166357497959
2016-08-10,0.0049962714392245
2016-08-09,0.0031418312387792
2016-08-08,-0.0026857654431514
2016-08-05,-0.016400660429279
2016-08-04,0.0028331738906468
2016-08-03,-0.0035563703024747
2016-08-02,0.010447152965584
2016-08-01,0.0057004470938898
2016-07-29,0.00018632383081796
2016-07-28,0.0095936794582393
2016-07-27,0.0045351473922902
2016-07-26,0.0075010471004835
2016-07-25,-0.0057543062653795
2016-07-22,-0.00030276652916027
2016-07-21,0.0039896648681511
2016-07-20,-0.011270568788038
2016-07-19,-0.0028470817412152
2016-07-18,0.005802562170309
2016-07-15,0.0025687518887882
2016-07-14,-0.014261776205548
2016-07-13,0.000260727056019
2016-07-12,-0.010831921008032
2016-07-11,0.0021044858777921
2016-07-08,-0.0018058524360581
2016-07-07,-0.0069899359560841
2016-07-06,0.011475106422358
2016-07-05,0.0
2016-07-04,0.0080223880597015
2016-07-01,0.014575052053757
2016-06-30,-0.00056753688989784
2016-06-29,0.0090096968771474
2016-06-28,-0.011211354799743
2016-06-27,0.0068795134929684
2016-06-24,0.042269143921087
2016-06-23,-0.002134640471202
2016-06-22,-0.0060898947037561
2016-06-21,-0.029105473965287
2016-06-16,0.021390165978337
2016-06-15,-0.0029911043778892
2016-06-14,0.0049578388507184
2016-06-13,0.0041552332418659
2016-06-10,0.0091779412928237
2016-06-09,0.00071258907363428
2016-06-08,0.017727639000806
2016-06-07,-0.002411575562701
2016-06-06,0.0028214429665457
2016-06-03,0.023177169251072
2016-06-02,-0.001729106628242
2016-06-01,0.0019800346506065
2016-05-31,-0.0034121274409045
2016-05-27,-0.0062099113453445
2016-05-26,0.0026626249385548
2016-05-25,-0.0131382140114
2016-05-24,-0.0072638253471388
2016-05-23,-0.0066177643119119
2016-05-20,0.0063791374122367
2016-05-19,-0.020936444339697
2016-05-18,-0.0032106499608457
2016-05-17,-0.0068053665175967
2016-05-16,0.015680543486847
2016-05-13,-0.010435802227868
2016-05-12,0.0018796256412265
2016-05-11,0.011126069052898
2016-05-10,-0.0019363762102352
2016-05-09,-0.018425135764158
2016-05-06,0.0068346026166764
2016-05-05,-0.0021434138737334
2016-05-04,-0.008500772797527
2016-05-03,0.0064947691829035
2016-04-29,0.023606687898089
2016-04-28,0.0068943402276735
2016-04-27,0.004590480792462
2016-04-26,0.0022600694164178
2016-04-25,-0.0034988940277498
2016-04-22,-0.0048028817290374
2016-04-21,-0.0021964856230032
2016-04-20,-0.0027083001433807
2016-04-19,0.017094709551973
2016-04-18,0.0058674924619021
2016-04-15,-0.0054706812011185
2016-04-14,-0.0095524784266507
2016-04-13,-0.0070540411286465
2016-04-12,-0.00011954572624036
2016-04-11,0.012303348124244
2016-04-08,-0.0020932292085983
2016-04-07,0.016947764859997
2016-04-06,-0.0079999999999999
2016-04-05,0.0094281615085058
2016-04-04,0.0050675675675676
2016-04-01,-0.018916734033953
2016-03-31,0.00060667340748231
2016-03-30,0.0083605220228385
2016-03-29,0.0040950040950041
2016-03-24,0.0027923784494087
2016-03-23,-0.027864271457086
2016-03-22,0.0061049080247409
2016-03-21,-0.0057503394297579
2016-03-18,-0.011369917094355
2016-03-17,0.030932030932031
2016-03-16,-0.0028409090909091
2016-03-15,-0.0086501709917522
2016-03-14,-0.017394742043882
2016-03-11,-0.0013817607579945
2016-03-10,0.016126444159178
2016-03-09,-0.016258879242305
2016-03-08,-0.00070983516050169
2016-03-07,-0.0075146771037181
2016-03-04,0.021795640871826
2016-03-03,0.008917043253712
2016-03-02,0.0021835826930854
2016-03-01,0.0012956514697546
2016-02-29,0.0068487566245415
2016-02-26,-0.0076860841423948
2016-02-25,-0.011792924245453
2016-02-24,0.024071723912065
2016-02-23,0.0085466556564822
2016-02-22,-0.016366811517687
2016-02-19,0.017395256590365
